Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,80.824409,82.069229,73.800064,76.734283,55.006512,219619144
2013-02-01,76.734283,77.801270,72.288498,72.466331,51.947060,89208044
2013-03-01,72.733078,74.689224,70.776932,73.977898,53.030613,147747731
2013-04-01,73.977898,74.333557,68.465118,69.265366,49.652462,96906340
2013-05-01,69.265366,73.800064,68.909698,72.021751,51.628365,123541667
2013-06-01,71.221504,72.110664,62.241020,64.730659,46.401783,83949131
2013-07-01,64.730659,68.820786,63.308006,66.242226,47.485348,79248048
2013-08-01,66.242226,71.888374,64.908493,71.234848,51.064278,116651784
2013-09-01,71.514931,73.008713,70.301231,71.701653,52.053654,60770205
2013-10-01,71.888374,72.355186,68.247276,68.900810,50.020317,52103892
2013-11-01,68.994171,69.367615,59.751377,65.539795,47.580307,80971243
2013-12-01,66.286682,67.407021,63.485840,64.979622,47.173634,68988791
2014-01-01,64.979622,66.380043,63.392475,63.672562,46.224739,63239101
2014-02-01,63.672562,64.326096,60.311546,63.579201,46.156963,45792943
2014-03-01,63.019032,68.340637,63.019032,67.033577,48.664757,102016316
2014-04-01,67.033577,72.168465,66.566772,70.021149,50.833652,111681968
2014-05-01,70.021149,71.141487,63.952648,64.606178,46.902523,83452991
2014-06-01,64.606178,68.807449,64.419456,67.593742,49.071419,61869159
2014-07-01,67.873833,72.728630,67.780472,69.834419,50.698097,121102334
2014-08-01,69.087532,74.502502,65.819878,73.522202,53.375343,107503994
2014-09-01,74.404472,75.482796,70.679344,73.718262,54.187901,75993360
2014-10-01,73.718262,79.894127,70.679344,79.403976,58.367287,153815768
2014-11-01,80.384277,86.756203,77.933533,84.795609,62.330502,236851910
2014-12-01,83.815315,90.873444,82.148811,83.619255,61.465805,186703791
2015-01-01,83.619255,85.481812,80.482307,84.207428,61.898148,102820972
2015-02-01,84.305458,84.599548,76.953239,79.207916,58.223175,56130996
2015-03-01,79.305946,83.717285,76.169006,82.344872,60.529049,138890685
