Date;Close;Open;High;Low
05/26/2023;972.86;963.09;973.60;963.09
05/25/2023;964.01;970.42;973.38;962.53
05/24/2023;970.90;977.20;977.74;969.84
05/23/2023;978.60;983.84;985.86;977.19
05/22/2023;983.27;977.26;984.90;976.87
05/19/2023;977.24;978.39;980.93;973.68
05/18/2023;978.16;977.07;983.58;976.86
05/17/2023;975.83;978.40;982.06;974.63
05/16/2023;979.24;979.16;983.47;977.89
05/15/2023;977.48;971.74;979.97;970.30
05/12/2023;973.00;977.75;978.76;971.79
05/11/2023;977.82;981.14;983.38;975.18
05/10/2023;979.64;982.31;982.31;977.51
05/09/2023;982.24;988.57;988.61;980.12
05/08/2023;989.44;983.60;989.52;983.28
05/05/2023;981.66;977.70;982.98;977.70
05/04/2023;976.36;970.26;977.63;970.00
05/03/2023;969.62;974.02;974.16;966.90
05/02/2023;973.94;976.08;982.27;973.37
05/01/2023;976.74;976.87;977.35;975.64
04/28/2023;977.05;972.99;979.99;972.99
04/27/2023;972.18;968.19;972.68;964.76
04/26/2023;967.85;964.75;969.53;962.37
04/25/2023;965.60;978.02;978.83;963.65
04/24/2023;977.38;980.02;980.56;973.13
04/21/2023;980.74;989.65;990.41;978.99
04/20/2023;989.79;989.04;990.98;986.67
04/19/2023;990.37;1000.78;1001.45;988.98
04/18/2023;1000.54;1002.99;1003.12;998.25
04/17/2023;1003.78;1000.46;1004.94;996.29
04/14/2023;1000.49;998.64;1002.56;998.29
04/13/2023;997.03;994.14;998.80;987.11
04/12/2023;993.58;996.66;996.83;990.87
04/11/2023;996.25;988.74;996.63;988.68
04/10/2023;988.68;987.86;990.01;987.29
04/07/2023;987.07;984.29;988.16;984.29
04/06/2023;984.43;986.45;986.45;980.92
04/05/2023;987.85;988.39;990.24;985.97
04/04/2023;987.62;989.94;991.06;984.18
04/03/2023;989.18;989.53;990.08;982.75
03/31/2023;990.28;986.82;995.96;986.82
03/30/2023;985.77;979.56;987.15;976.78
03/29/2023;980.14;971.08;981.99;970.70
03/28/2023;970.69;965.26;971.52;965.11
03/27/2023;964.01;972.63;972.66;963.17
03/24/2023;972.17;976.56;977.99;969.26
03/23/2023;977.78;963.30;980.15;962.88
03/22/2023;961.48;954.24;967.38;953.94
03/21/2023;952.45;944.65;954.19;944.31
03/20/2023;942.98;952.57;953.58;940.54
03/17/2023;951.56;943.82;956.29;943.16
03/16/2023;941.35;945.50;945.89;938.31
03/15/2023;946.87;948.52;958.55;942.96
03/14/2023;945.12;961.64;961.64;944.84
03/13/2023;961.50;954.75;968.02;953.90
03/10/2023;955.28;966.40;966.85;953.67
03/09/2023;968.39;978.67;978.97;967.14
03/08/2023;978.07;984.46;984.46;972.46
03/07/2023;988.38;993.78;999.76;984.75
03/06/2023;993.74;990.86;996.23;988.02
03/03/2023;988.03;980.83;990.50;980.65
03/02/2023;980.05;986.43;988.17;978.28
03/01/2023;984.19;961.39;986.70;961.18
02/28/2023;964.01;967.41;970.90;961.52
02/27/2023;967.25;968.97;969.72;961.94
02/24/2023;971.87;987.62;989.62;968.68
02/23/2023;987.74;982.43;992.56;982.41
02/22/2023;982.06;992.88;992.88;981.31
02/21/2023;995.19;1004.96;1005.47;992.44
02/20/2023;1005.21;1000.42;1006.90;998.79
02/17/2023;999.42;1009.45;1009.81;998.61
02/16/2023;1011.14;1005.20;1017.87;1005.20
02/15/2023;1004.87;1013.86;1013.90;1002.20
02/14/2023;1014.49;1015.14;1017.98;1012.59
02/13/2023;1013.53;1013.13;1014.48;1004.88
02/10/2023;1013.67;1022.99;1023.15;1012.57
02/09/2023;1024.51;1020.28;1027.32;1017.07
02/08/2023;1020.58;1015.83;1021.59;1015.83
02/07/2023;1015.51;1013.88;1020.89;1013.14
02/06/2023;1014.49;1032.56;1032.56;1011.42
02/03/2023;1038.71;1043.77;1044.23;1033.60
02/02/2023;1045.56;1047.98;1053.67;1043.61
02/01/2023;1042.79;1032.84;1047.15;1032.28
01/31/2023;1031.50;1042.91;1044.00;1028.64
01/30/2023;1044.00;1052.43;1057.59;1042.19
01/27/2023;1051.19;1053.96;1057.19;1050.94
01/26/2023;1052.46;1042.19;1053.66;1042.04
01/25/2023;1041.26;1042.03;1043.19;1039.04
01/24/2023;1039.20;1038.88;1040.58;1037.41
01/23/2023;1038.68;1037.92;1040.40;1037.56
01/20/2023;1036.24;1029.23;1037.17;1028.83
01/19/2023;1027.91;1027.35;1029.61;1022.11
01/18/2023;1030.06;1028.33;1034.14;1023.64
01/17/2023;1027.38;1029.12;1029.69;1023.39
01/16/2023;1030.90;1030.41;1037.81;1028.58
01/13/2023;1029.84;1021.13;1030.94;1021.13
01/12/2023;1018.31;1018.29;1022.28;1012.69
01/11/2023;1016.85;1015.35;1020.89;1013.52
01/10/2023;1014.02;1014.64;1015.76;1009.96
01/09/2023;1013.50;992.31;1015.88;992.31
01/06/2023;988.68;983.70;992.53;983.28
01/05/2023;984.00;975.03;987.62;975.03
01/04/2023;974.22;960.94;974.93;960.57
01/03/2023;962.57;955.08;965.05;945.34
01/02/2023;956.12;957.77;958.45;954.27
12/30/2022;956.38;958.80;963.71;956.38
12/29/2022;957.45;958.71;959.20;951.72
12/28/2022;960.18;958.58;961.37;955.05
12/27/2022;959.39;956.76;960.77;956.76
12/26/2022;956.48;954.39;958.24;953.99
12/23/2022;954.78;960.86;961.45;952.84
12/22/2022;964.06;953.36;965.97;953.34
12/21/2022;952.98;952.09;954.96;950.51
12/20/2022;951.08;957.18;957.23;942.67
12/19/2022;957.64;955.88;962.27;953.19
12/16/2022;957.30;957.19;960.67;951.72
12/15/2022;960.22;973.92;973.92;957.63
12/14/2022;973.71;967.88;976.12;967.73
12/13/2022;965.25;964.02;969.58;961.68
12/12/2022;963.58;976.39;976.42;962.34
12/09/2022;978.28;969.93;980.47;969.93
12/08/2022;969.21;959.97;970.96;957.71
12/07/2022;958.77;972.77;977.06;958.77
12/06/2022;972.93;980.85;981.47;969.20
12/05/2022;984.26;974.10;988.54;973.73
12/02/2022;973.85;978.06;979.21;971.18
12/01/2022;978.30;976.53;991.17;976.53
11/30/2022;972.29;953.23;975.22;950.80
11/29/2022;952.94;930.26;954.35;929.31
11/28/2022;930.77;938.11;938.11;923.03
11/25/2022;941.01;945.82;945.82;938.98
11/24/2022;945.57;935.12;946.60;935.12
11/23/2022;932.30;928.16;934.80;927.85
11/22/2022;927.41;930.56;933.39;925.35
11/21/2022;931.05;942.08;942.08;929.25
11/18/2022;943.01;942.86;951.13;940.77
11/17/2022;942.36;950.67;950.77;937.31
11/16/2022;954.31;960.45;961.90;949.87
