Date;Close;Open;High;Low
06/14/2023;3229.35;3238.12;3248.46;3226.77
06/13/2023;3233.67;3223.90;3235.09;3215.50
06/12/2023;3228.83;3225.30;3239.44;3210.71
06/09/2023;3231.41;3213.03;3231.41;3206.10
06/08/2023;3213.59;3194.83;3225.53;3180.54
06/07/2023;3197.76;3197.47;3210.33;3188.01
06/06/2023;3195.34;3228.41;3247.35;3189.27
06/05/2023;3232.44;3231.81;3244.18;3221.63
06/02/2023;3230.07;3212.45;3233.99;3211.74
06/01/2023;3204.63;3196.15;3225.09;3189.52
05/31/2023;3204.56;3214.66;3216.36;3190.27
05/30/2023;3224.21;3214.67;3230.63;3186.63
05/29/2023;3221.45;3219.76;3230.97;3208.96
05/26/2023;3212.50;3198.88;3220.77;3179.82
05/25/2023;3201.26;3197.36;3207.02;3168.57
05/24/2023;3204.75;3237.70;3237.70;3204.38
05/23/2023;3246.24;3294.79;3298.23;3246.24
05/22/2023;3296.47;3278.60;3308.53;3276.54
05/19/2023;3283.54;3288.89;3302.34;3268.22
05/18/2023;3297.32;3288.41;3313.86;3284.17
05/17/2023;3284.23;3281.97;3298.52;3269.89
05/16/2023;3290.99;3310.16;3317.90;3282.49
05/15/2023;3310.74;3269.88;3310.74;3235.87
05/12/2023;3272.36;3304.46;3319.13;3271.43
05/11/2023;3309.55;3323.66;3333.25;3307.29
05/10/2023;3319.15;3347.70;3349.72;3305.25
05/09/2023;3357.67;3402.39;3418.95;3356.12
05/08/2023;3395.00;3340.99;3400.18;3340.99
05/05/2023;3334.50;3350.65;3364.14;3321.19
05/04/2023;3350.46;3306.48;3352.75;3302.03
04/28/2023;3323.27;3283.12;3324.88;3283.12
04/27/2023;3285.88;3256.23;3299.30;3253.11
04/26/2023;3264.10;3255.22;3277.98;3239.99
04/25/2023;3264.87;3276.40;3288.57;3229.45
04/24/2023;3275.41;3300.81;3303.09;3264.93
04/21/2023;3301.26;3364.00;3367.61;3301.26
04/20/2023;3367.03;3367.05;3371.37;3344.02
04/19/2023;3370.13;3391.35;3394.96;3364.64
04/18/2023;3393.33;3379.23;3396.17;3375.78
04/17/2023;3385.61;3337.06;3385.61;3336.39
04/14/2023;3338.15;3326.37;3340.08;3316.81
04/13/2023;3318.36;3321.27;3334.47;3309.25
04/12/2023;3327.18;3316.86;3330.71;3315.40
04/11/2023;3313.57;3317.08;3317.45;3298.25
04/10/2023;3315.36;3331.51;3332.72;3309.92
04/07/2023;3327.65;3312.48;3328.85;3308.06
04/06/2023;3312.63;3302.75;3314.53;3296.05
04/04/2023;3312.56;3297.18;3312.56;3290.99
04/03/2023;3296.40;3277.34;3299.73;3276.42
03/31/2023;3272.86;3263.41;3278.42;3260.04
03/30/2023;3261.25;3243.07;3263.74;3220.98
03/29/2023;3240.06;3253.62;3254.56;3229.58
03/28/2023;3245.38;3256.60;3264.10;3241.74
03/27/2023;3251.40;3261.82;3261.82;3229.70
03/24/2023;3265.65;3282.74;3282.74;3260.84
03/23/2023;3286.65;3258.78;3286.65;3252.99
03/22/2023;3265.75;3263.41;3279.39;3255.74
03/21/2023;3255.65;3240.84;3256.00;3237.89
03/20/2023;3234.91;3253.93;3267.99;3231.65
03/17/2023;3250.55;3245.26;3279.92;3240.16
03/16/2023;3226.89;3244.47;3257.43;3224.72
03/15/2023;3263.31;3261.03;3273.12;3256.86
03/14/2023;3245.31;3261.92;3262.00;3216.99
03/13/2023;3268.70;3228.12;3268.70;3228.12
