"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"24/02/2023","6.944,93","6.971,65","6.983,16","6.906,69","121,05K","-0,29%"
"23/02/2023","6.965,22","6.997,78","7.008,68","6.929,90","140,15K","-0,46%"
"22/02/2023","6.997,59","6.961,15","7.014,56","6.947,34","142,78K","0,14%"
"21/02/2023","6.987,83","6.969,35","7.008,55","6.939,62","169,73K","0,44%"
"20/02/2023","6.957,29","6.871,86","6.959,75","6.825,87","163,59K","1,29%"
"17/02/2023","6.868,90","6.931,99","6.954,85","6.861,34","170,64K","-0,85%"
"16/02/2023","6.927,95","7.063,93","7.098,92","6.878,36","215,12K","-1,91%"
"15/02/2023","7.062,74","7.062,36","7.076,87","7.039,21","157,87K","0,02%"
"14/02/2023","7.061,22","7.064,53","7.070,33","7.028,79","150,05K","0,14%"
"13/02/2023","7.051,61","6.976,33","7.052,34","6.973,47","158,94K","1,12%"
"10/02/2023","6.973,57","6.991,23","7.015,23","6.926,48","151,29K","-0,36%"
"09/02/2023","6.998,69","6.864,03","6.999,09","6.850,57","147,15K","1,76%"
"08/02/2023","6.877,85","6.927,33","6.932,99","6.873,92","137,22K","-0,66%"
"07/02/2023","6.923,32","6.900,23","6.924,42","6.864,53","148,80K","0,48%"
"06/02/2023","6.890,19","6.902,49","6.928,28","6.853,91","144,41K","-0,49%"
"03/02/2023","6.923,87","6.922,79","6.934,32","6.829,40","155,63K","-0,13%"
"02/02/2023","6.932,75","6.926,58","6.969,79","6.908,72","165,27K","0,24%"
"01/02/2023","6.916,20","6.815,06","6.916,20","6.812,79","167,32K","1,65%"
"31/01/2023","6.803,63","6.763,40","6.820,14","6.759,06","145,96K","0,25%"
"30/01/2023","6.786,93","6.815,14","6.839,84","6.780,43","169,03K","0,78%"
"20/01/2023","6.734,34","6.690,14","6.740,13","6.690,14","120,82K","0,91%"
"19/01/2023","6.673,59","6.605,45","6.678,18","6.590,42","105,90K","0,92%"
"18/01/2023","6.613,00","6.613,74","6.635,85","6.593,67","105,84K","0,31%"
"17/01/2023","6.592,65","6.600,25","6.622,32","6.573,28","107,03K","0,00%"
"16/01/2023","6.592,88","6.521,45","6.628,52","6.521,45","139,52K","1,19%"
"13/01/2023","6.515,08","6.505,24","6.516,10","6.475,66","109,11K","0,43%"
"12/01/2023","6.487,30","6.495,16","6.529,78","6.469,48","103,61K","0,02%"
"11/01/2023","6.485,93","6.544,57","6.562,35","6.480,94","111,54K","-0,83%"
"10/01/2023","6.540,04","6.541,82","6.546,54","6.505,50","110,13K","0,06%"
"09/01/2023","6.536,22","6.523,14","6.559,46","6.517,57","120,41K","0,54%"
"06/01/2023","6.500,79","6.482,88","6.539,76","6.478,63","127,84K","0,25%"
"05/01/2023","6.484,55","6.427,45","6.489,83","6.413,75","120,12K","1,00%"
"04/01/2023","6.420,41","6.423,43","6.445,41","6.385,12","129,63K","-0,08%"
"03/01/2023","6.425,63","6.286,81","6.433,61","6.275,69","131,45K","2,29%"
"30/12/2022","6.281,68","6.283,50","6.296,24","6.262,60","95,70K","0,30%"
"29/12/2022","6.263,09","6.253,79","6.322,25","6.245,23","101,21K","-0,13%"
"28/12/2022","6.270,94","6.304,59","6.306,95","6.251,41","104,10K","-0,89%"
"27/12/2022","6.326,95","6.288,61","6.328,36","6.256,04","107,97K","0,83%"
